IP,GUID,Fairshots
31.168.94.219,833df,"[(u'833df', u'SoDpit', u'51.254.35.64:20111', u'1499803841', u'%7E%2ASoD%23pit%2A'), (u'833df', u'WBGPit', u'79.137.85.74:20105', u'1489171794', u'-%7CWBG%7C-+Pit'), (u'833df', u'pit', u'31.204.154.254:20100', u'1485274659', u'pit'), (u'833df', u'pit', u'213.163.68.175:20100', u'1478181445', u'pit'), (u'833df', u'sezepit', u'51.254.35.64:20109', u'1477930278', u'se%21ze%60pit'), (u'833df', u'pit', u'213.163.68.175:20100', u'1477917892', u'pit')]"
197.46.242.73,,
197.43.74.122,296fd,"[(u'296fd', u'1AnswertAAta', u'31.204.136.28:20100', u'1499536613', u'1Answer+tAAta'), (u'296fd', u'1AnswertAAta', u'31.204.136.28:20100', u'1499536476', u'1Answer+tAAta')]"
188.82.50.232,,
197.161.52.232,,
83.31.147.75,,
156.204.41.79,,
81.99.232.18,4d166,[]
41.237.55.131,,
156.198.194.214,,
41.45.250.138,,
5.133.27.5,,
41.237.56.45,,
217.229.95.137,4753e,"[(u'4753e', u'Painless', u'51.255.200.51:20104', u'1499815146', u'Painless'), (u'4753e', u'Painless', u'149.202.63.22:20104', u'1483795225', u'Painless'), (u'4753e', u'Painless', u'188.165.252.147:20240', u'1464626015', u'Painless')]"
83.176.11.45,5821e,[]
196.154.36.219,,
213.195.215.190,,
77.163.248.247,8f647,"[(u'8f647', u'Zephyrus', u'79.137.85.74:20105', u'1494266807', u'Zephyrus')]"
41.209.111.129,,
156.199.29.169,,
85.67.112.111,f07af,"[(u'f07af', u'WBGJormung', u'149.202.63.22:20101', u'1484241952', u'-%7CWBG%7C-+Jormung')]"
156.205.114.211,,
156.218.74.101,,
156.204.28.115,,
156.204.147.3,,
190.167.153.25,,
106.70.111.214,,
41.237.15.208,,
80.217.32.169,,
84.31.109.57,,
95.178.142.46,99ea8,"[(u'99ea8', u'cscalvin', u'185.61.138.136:20100', u'1499528474', u'-%2Fcs%2F-+calvin'), (u'99ea8', u'cant', u'51.254.35.64:20109', u'1492687325', u'cant%14'), (u'99ea8', u'cant', u'51.254.35.64:20109', u'1491127009', u'cant%14'), (u'99ea8', u'NsScant', u'31.204.154.254:20100', u'1484841020', u'%60NsS+%2F%23%2F+cant%2A'), (u'99ea8', u'NsScant', u'31.204.154.254:20100', u'1484840788', u'%60NsS+%2F%23%2F+cant%2A'), (u'99ea8', u'cant', u'51.254.35.64:20111', u'1483106973', u'cant')]"
156.205.103.63,,
156.204.169.128,,
219.89.158.57,a89d2,[]
45.243.25.15,,
156.199.97.2,,
