IP,GUID,Fairshots
94.209.179.13,54ad4,"[(u'54ad4', u'HaTeDvertex', u'51.255.200.51:20104', u'1499815169', u'HaTeD+%23+vertex'), (u'54ad4', u'SoDvertex', u'51.254.35.64:20111', u'1499795541', u'%7E%2ASoD%23vertex%2A'), (u'54ad4', u'SoDvertex', u'51.254.35.64:20111', u'1499795234', u'%7E%2ASoD%23vertex%2A'), (u'54ad4', u'Gsvertex', u'78.47.64.168:20101', u'1499729046', u'.Gs%7Cvertex'), (u'54ad4', u'Gsvertex', u'78.47.64.168:20101', u'1499728896', u'.Gs%7Cvertex'), (u'54ad4', u'Gsvertex', u'78.47.64.168:20101', u'1499728662', u'.Gs%7Cvertex')]"
41.237.54.163,,
197.48.98.163,38014,"[(u'38014', u'GsOmar', u'78.47.64.168:20101', u'1499801372', u'.Gs%7COmar%60'), (u'38014', u'NsSRicon', u'185.62.39.169:20100', u'1499716427', u'%60NsS+%2F%23%2F+Ricon%2A'), (u'38014', u'GsTwixx', u'78.47.64.168:20101', u'1499518293', u'.Gs%7CTwixx%60'), (u'38014', u'cSPL4CE', u'78.47.64.168:20104', u'1498750873', u'-%2FcS%2F-+P%02L4CE%60'), (u'38014', u'GAArdastar', u'78.47.64.168:20101', u'1497117228', u'.GA%7CArdastar'), (u'38014', u'GAluizito', u'78.47.64.168:20101', u'1496798762', u'-G%7CA-%60luizito%7E')]"
197.164.114.245,e88ba,[]
92.209.136.13,,
156.205.198.149,,
41.68.128.95,,
41.69.213.126,,
156.199.106.173,,
156.204.42.50,,
190.249.233.218,8af82,"[(u'8af82', u'Alex', u'79.137.85.74:20105', u'1497114078', u'Alex')]"
41.47.152.189,,
212.149.196.218,6ab16,[]
156.199.104.230,,
156.204.231.178,,
89.143.254.135,,
189.197.113.34,,
156.204.120.103,,
37.136.97.208,065c1,"[(u'065c1', u'HaTeDkokki', u'52.57.90.19:20100', u'1499627584', u'HaTeD+%23+kokki'), (u'065c1', u'HaTeDkokki', u'51.254.35.64:20111', u'1499535168', u'HaTeD+%23+kokki'), (u'065c1', u'HaTeDkokki', u'31.186.250.93:20150', u'1482613418', u'HaTeD+%23+kokki'), (u'065c1', u'HaTeDkokki', u'31.186.250.93:20150', u'1480954578', u'HaTeD+%23+kokki'), (u'065c1', u'S4Akokki', u'31.186.251.200:20100', u'1470757933', u'%26gt%3B%7CS4A%7C%26lt%3B+kokki')]"
156.204.235.64,,
156.205.76.215,,
182.48.197.5,,
217.63.57.119,,
156.205.163.37,,
156.205.26.146,,
156.204.174.133,,
109.133.66.202,,
86.108.125.1,0b53d,[]
45.243.91.146,,
41.237.9.138,,
94.212.243.232,429c6,[]
156.218.81.27,,
156.204.188.63,,
196.154.68.175,,
94.227.124.75,,
84.80.0.182,9cd95,"[(u'9cd95', u'S4AAbl4z', u'195.154.91.189:20100', u'1453303133', u'%26gt%3B%7CS4A%7C%26lt%3B+Abl4z'), (u'9cd95', u'S4AAbl4z', u'188.165.252.147:20700', u'1452711954', u'%26gt%3B%7CS4A%7C%26lt%3B+Abl4z'), (u'9cd95', u'S4AGreekblaz', u'188.165.252.147:20700', u'1452699170', u'%26gt%3B%7CS4A%7C%26lt%3B+Greekblaz'), (u'9cd95', u'S4AAblaz', u'188.165.252.147:20700', u'1452698817', u'%26gt%3B%7CS4A%7C%26lt%3B+Ablaz'), (u'9cd95', u'S4AAblaz', u'188.165.252.147:20700', u'1452618750', u'%26gt%3B%7CS4A%7C%26lt%3B+Ablaz')]"
156.204.169.21,,
197.32.132.100,,
41.237.21.121,,
41.232.248.140,,
94.213.253.21,8cac6,"[(u'8cac6', u'GsGraffiti', u'149.202.63.22:20103', u'1470069696', u'.Gs%7CGraffiti%2A'), (u'8cac6', u'GsGraffiti', u'185.34.216.28:20101', u'1443476764', u'.Gs%7CGraffiti%2A'), (u'8cac6', u'GsGraffiti', u'185.34.216.28:20101', u'1443476611', u'.Gs%7CGraffiti%2A'), (u'8cac6', u'GsGraffiti', u'185.34.216.28:20101', u'1443476384', u'.Gs%7CGraffiti%2A'), (u'8cac6', u'GsGraffiti', u'185.34.216.28:20101', u'1443475982', u'.Gs%7CGraffiti%2A'), (u'8cac6', u'GsGraffiti', u'213.163.68.175:20100', u'1443446448', u'.Gs%7CGraffiti%2A')]"
156.205.65.131,,
83.191.211.91,5821e,[]
156.199.38.103,,
176.103.167.162,a0fea,"[(u'a0fea', u'AccessTomo', u'31.186.250.93:20150', u'1495094590', u'%60Access+Tomo%60'), (u'a0fea', u'AccessTomo', u'31.186.250.93:20150', u'1495094092', u'%60Access+Tomo%60'), (u'a0fea', u'AccessTomo', u'31.186.250.93:20150', u'1495011236', u'%60Access+Tomo%60'), (u'a0fea', u'AccessTomo', u'79.137.85.74:20100', u'1485871718', u'%60Access+Tomo%60'), (u'a0fea', u'AccessTomo', u'79.137.85.74:20100', u'1485871564', u'%60Access+Tomo%60'), (u'a0fea', u'AccessTomo', u'79.137.85.74:20100', u'1485871401', u'%60Access+Tomo%60')]"
177.228.77.34,,
86.89.51.64,ea67c,"[(u'ea67c', u'clgmicky', u'51.254.35.64:20109', u'1491002938', u'%2Fclg+%23+micky')]"
109.240.66.142,ea920,"[(u'ea920', u'NsSJaFFa', u'78.47.64.168:20101', u'1498864199', u'%60NsS+%2F%23%2F+JaFFa'), (u'ea920', u'NsSJaFFa', u'78.47.64.168:20101', u'1498863742', u'%60NsS+%2F%23%2F+JaFFa'), (u'ea920', u'1fxJaffa', u'79.137.85.74:20105', u'1497348700', u'1fx.+%23+Jaffa'), (u'ea920', u'1fxJaffa', u'79.137.85.74:20105', u'1495545595', u'1fx.+%23+Jaffa'), (u'ea920', u'1fxJaffa', u'79.137.85.74:20105', u'1495545227', u'1fx.+%23+Jaffa'), (u'ea920', u'fStJFA', u'51.254.35.64:20111', u'1491332802', u'%7EfSt%7E+JFA%2A')]"
41.237.13.77,,
200.1.177.252,,
197.162.122.245,,
74.72.45.218,c3301,"[(u'c3301', u'wbgletsgetitmon', u'213.163.68.175:20100', u'1474508548', u'wbg+-+letsgetitmon'), (u'c3301', u'bennetop', u'188.165.252.147:20380', u'1422294870', u'bennet+op'), (u'c3301', u'FIrDAnoleko', u'188.165.252.147:20380', u'1421187370', u'%1CFIr%02----D%09Anoleko%1E'), (u'c3301', u'Kompton', u'216.158.93.133:20100', u'1399243352', u'%60Kompton%60'), (u'c3301', u'BffAbdoMota', u'213.163.68.175:20104', u'1395869330', u'.Bff%2AAbdoMota%21'), (u'c3301', u'ATThePredtor', u'96.8.119.194:20100', u'1394136400', u'AT%7CThePred%40tor.')]"
156.205.196.4,,
156.204.155.201,,
197.32.202.127,0a45f,"[(u'0a45f', u'sKAlien', u'51.255.200.51:20104', u'1499704364', u'-sK-Alien'), (u'0a45f', u'sKAlien', u'51.255.200.51:20104', u'1499703827', u'-sK-Alien'), (u'0a45f', u'Alien', u'51.255.200.51:20104', u'1498905994', u'Alien'), (u'0a45f', u'Alien', u'51.255.200.51:20104', u'1498838183', u'Alien'), (u'0a45f', u'AWAmummy', u'52.57.90.19:20100', u'1498651788', u'%7BAWA%7Dmummy'), (u'0a45f', u'AWAmummy', u'51.254.35.64:20111', u'1498650975', u'%7BAWA%7Dmummy')]"
41.237.61.53,,
156.205.62.132,,
197.164.183.117,,
156.198.175.178,,
217.229.88.203,4753e,"[(u'4753e', u'Painless', u'51.255.200.51:20104', u'1499815146', u'Painless'), (u'4753e', u'Painless', u'149.202.63.22:20104', u'1483795225', u'Painless'), (u'4753e', u'Painless', u'188.165.252.147:20240', u'1464626015', u'Painless')]"
197.167.37.130,,
156.198.245.92,,
83.31.4.128,,
148.101.216.90,,
86.88.96.219,10e48,"[(u'10e48', u'cLgfrost', u'213.163.78.139:20100', u'1496348778', u'.cLg+%23+frost'), (u'10e48', u'frost', u'31.204.136.28:20100', u'1496006283', u'frost'), (u'10e48', u'frost', u'213.163.68.175:20100', u'1476548024', u'frost')]"
77.114.74.7,,
156.205.136.189,,
41.237.17.203,,
156.204.53.58,,
197.167.23.189,d9ca0,"[(u'd9ca0', u'Sona', u'79.137.85.74:20100', u'1499673043', u'Sona'), (u'd9ca0', u'Sona', u'79.137.85.74:20100', u'1499595965', u'Sona'), (u'd9ca0', u'Sona', u'79.137.85.74:20100', u'1499593106', u'Sona'), (u'd9ca0', u'Sona', u'79.137.85.74:20100', u'1499592834', u'Sona'), (u'd9ca0', u'Sona', u'79.137.85.74:20100', u'1499592673', u'Sona'), (u'd9ca0', u'Sona', u'79.137.85.74:20100', u'1499592500', u'Sona')]"
197.133.212.64,,
62.219.237.10,,
156.205.69.35,3561b,[]
156.201.55.119,,
2.28.2.63,,
156.205.239.148,,
85.76.44.42,e822c,"[(u'e822c', u'volatileluisu', u'188.226.137.15:20101', u'1490541494', u'volatile+%23+luisu'), (u'e822c', u'volatileluisuKIPPARI', u'149.202.63.22:20106', u'1486159771', u'volatile+%23+luisu+%26lt%3BKIPPARI%26gt%3B'), (u'e822c', u'volatileluisuPERAMIES', u'149.202.63.22:20102', u'1483909359', u'volatile+%23+luisu+%26lt%3BPERAMIES%26gt%3B'), (u'e822c', u'volatileluisuPERAMIES', u'31.186.251.200:20100', u'1483740870', u'volatile+%23+luisu+%26lt%3BPERAMIES%26gt%3B'), (u'e822c', u'volatileluisu', u'31.186.251.200:20100', u'1482429351', u'volatile+%23+luisu'), (u'e822c', u'volatileluisu', u'151.236.49.106:20100', u'1480362600', u'volatile+%23+luisu')]"
156.204.224.150,,
82.217.168.104,4208c,"[(u'4208c', u'oOFreAkNOoROo', u'31.186.250.93:20150', u'1494604122', u'oOFreAkNOoR%21%13%7COo'), (u'4208c', u'oOFreAkNOoROo', u'31.186.250.93:20150', u'1494603902', u'oOFreAkNOoR%21%13%7COo'), (u'4208c', u'oOFreAkNOoR', u'31.186.250.93:20150', u'1482334664', u'oOFreAkNOoR%21%13%7C%2A%2A'), (u'4208c', u'oOFreAkNOoR', u'31.186.250.93:20150', u'1480953776', u'oOFreAkNOoR%21%13%7C%2A%2A')]"
156.204.137.90,,
45.242.91.191,,
156.205.5.63,,
156.204.8.192,,
41.237.43.56,,
62.139.99.219,,
187.143.113.35,,
94.254.20.120,,
82.73.119.194,f42a9,"[(u'f42a9', u'WBGRoelof', u'185.61.138.136:20102', u'1499185247', u'-%7CWBG%7C-+Roelof%2A'), (u'f42a9', u'demigdzRoelof', u'128.199.50.188:20100', u'1488305900', u'demig%02dz+%2F%2F+Roelof%60'), (u'f42a9', u'demigdzRoelof', u'89.36.221.87:20100', u'1486407445', u'demig%02dz+%2F%2F+Roelof%60'), (u'f42a9', u'demigdzRoelof', u'31.204.154.254:20100', u'1484320680', u'demig%02dz+%2F%2F+Roelof%60'), (u'f42a9', u'Roelof', u'95.211.38.104:20150', u'1339140237', u'%23+Roelof++%7E')]"
156.205.143.249,,
85.144.200.161,833ea,"[(u'833ea', u'cLgcornaflex', u'51.255.200.51:20104', u'1499815130', u'cLg+%23+cornaflex.'), (u'833ea', u'WBGELCHAPO', u'185.61.138.136:20102', u'1499777333', u'-%7CWBG%7C-+EL%2ACHAPO'), (u'833ea', u'cLgcornatr0n', u'213.163.78.139:20100', u'1499691396', u'.cLg+%23+cornatr0n%60'), (u'833ea', u'cLgcornatr0n', u'213.163.78.139:20100', u'1499691191', u'.cLg+%23+cornatr0n%60'), (u'833ea', u'cLgcornatr0n', u'213.163.78.139:20100', u'1499690592', u'.cLg+%23+cornatr0n%60')]"
197.32.64.51,,
78.180.132.114,,
5.43.181.152,99ea8,"[(u'99ea8', u'cscalvin', u'185.61.138.136:20100', u'1499528474', u'-%2Fcs%2F-+calvin'), (u'99ea8', u'cant', u'51.254.35.64:20109', u'1492687325', u'cant%14'), (u'99ea8', u'cant', u'51.254.35.64:20109', u'1491127009', u'cant%14'), (u'99ea8', u'NsScant', u'31.204.154.254:20100', u'1484841020', u'%60NsS+%2F%23%2F+cant%2A'), (u'99ea8', u'NsScant', u'31.204.154.254:20100', u'1484840788', u'%60NsS+%2F%23%2F+cant%2A'), (u'99ea8', u'cant', u'51.254.35.64:20111', u'1483106973', u'cant')]"
41.232.251.111,,
156.205.177.31,,
41.209.126.251,,
37.157.110.188,ebe6d,[]
58.179.37.213,,
200.125.165.47,f2f38,"[(u'f2f38', u'Happy', u'185.34.216.28:20100', u'1443647163', u'%7C%7CHappy%7C%7C')]"
41.237.20.81,,
90.16.129.169,,
197.48.232.139,ada3b,[]
189.173.102.35,,
178.117.59.184,583db,"[(u'583db', u'AsYoni', u'213.163.78.139:20100', u'1497963238', u'A%2As+Yoni'), (u'583db', u'AsYoni', u'78.47.64.168:20102', u'1497369006', u'A%2As+Yoni'), (u'583db', u'Asviking', u'79.137.85.74:20105', u'1495125129', u'A%2As+viking'), (u'583db', u'AstonedQQ', u'51.254.35.64:20109', u'1495066842', u'A%2Astoned+%3AQQ'), (u'583db', u'Aspussysogood', u'79.137.85.74:20105', u'1494593578', u'A%2As+pussy+so+good'), (u'583db', u'Ascheck', u'79.137.85.74:20105', u'1493663065', u'A%2As+check')]"
156.204.157.183,,
156.204.208.244,,
156.204.231.233,a0f45,"[(u'a0f45', u'GsCullen', u'78.47.64.168:20101', u'1499513277', u'.Gs%7CCullen'), (u'a0f45', u'GACullen', u'78.47.64.168:20104', u'1497452180', u'-G%7CA-+Cullen'), (u'a0f45', u'GACullen', u'78.47.64.168:20104', u'1497451611', u'-G%7CA-+Cullen'), (u'a0f45', u'GACullen', u'78.47.64.168:20104', u'1497451080', u'-G%7CA-+Cullen'), (u'a0f45', u'GACullen', u'78.47.64.168:20104', u'1497450746', u'-G%7CA-+Cullen'), (u'a0f45', u'GACullen', u'78.47.64.168:20104', u'1497450567', u'-G%7CA-+Cullen')]"
156.204.188.59,,
41.237.18.132,,
156.205.237.85,,
45.242.65.185,,
156.205.36.77,,
156.205.100.12,,
156.205.199.140,,
51.9.216.143,,
109.240.32.43,ea920,"[(u'ea920', u'NsSJaFFa', u'78.47.64.168:20101', u'1498864199', u'%60NsS+%2F%23%2F+JaFFa'), (u'ea920', u'NsSJaFFa', u'78.47.64.168:20101', u'1498863742', u'%60NsS+%2F%23%2F+JaFFa'), (u'ea920', u'1fxJaffa', u'79.137.85.74:20105', u'1497348700', u'1fx.+%23+Jaffa'), (u'ea920', u'1fxJaffa', u'79.137.85.74:20105', u'1495545595', u'1fx.+%23+Jaffa'), (u'ea920', u'1fxJaffa', u'79.137.85.74:20105', u'1495545227', u'1fx.+%23+Jaffa'), (u'ea920', u'fStJFA', u'51.254.35.64:20111', u'1491332802', u'%7EfSt%7E+JFA%2A')]"
156.202.160.154,,
41.47.253.122,,
156.204.129.134,,
197.167.46.21,470df,[]
217.229.84.12,4753e,"[(u'4753e', u'Painless', u'51.255.200.51:20104', u'1499815146', u'Painless'), (u'4753e', u'Painless', u'149.202.63.22:20104', u'1483795225', u'Painless'), (u'4753e', u'Painless', u'188.165.252.147:20240', u'1464626015', u'Painless')]"
197.167.31.126,,
41.45.115.45,,
178.153.65.73,1b711,[]
190.53.106.61,d4f92,[]
156.205.126.205,,
197.133.223.55,,
83.28.251.77,cbd7a,"[(u'cbd7a', u'BooMPL', u'188.165.252.147:20800', u'1434743291', u'BooM%28PL%29'), (u'cbd7a', u'BooMPL', u'188.165.252.147:20800', u'1434740830', u'BooM%28PL%29')]"
156.204.14.84,,
156.204.98.102,,
179.60.243.49,9be37,"[(u'9be37', u'sRdelVVutz', u'144.217.6.142:20102', u'1483830295', u'-%3Ds%7CR%27%2AdelVVutz%2A'), (u'9be37', u'CrackFamily', u'213.163.68.175:20100', u'1474491519', u'Crack+Family'), (u'9be37', u'CrackFamily', u'213.163.68.175:20100', u'1474491325', u'Crack+Family'), (u'9be37', u'sRGrup', u'195.154.108.83:20100', u'1451421629', u'-%3Ds%7CR%27%2AGrup%2A'), (u'9be37', u'sRGrup', u'195.154.108.83:20100', u'1451421356', u'-%3Ds%7CR%27%2AGrup%2A'), (u'9be37', u'SOF2cArdonA', u'84.44.136.201:20100', u'1450653371', u'%5BSOF2%5D+cArdonA%2A')]"
41.46.192.7,,
197.48.127.166,,
41.47.67.177,,
176.103.166.244,62eca,"[(u'62eca', u'AccessTomo', u'188.165.252.147:20380', u'1397012937', u'%60Access+Tomo%60'), (u'62eca', u'AccessTomo', u'31.204.131.79:20101', u'1394444603', u'%60Access+Tomo%60'), (u'62eca', u'AccessTomo', u'213.163.68.175:20102', u'1393994631', u'%60Access+Tomo%60'), (u'62eca', u'AccessTomo', u'31.204.131.79:20101', u'1393595482', u'%60Access+Tomo%60'), (u'62eca', u'AccessTomo', u'31.204.131.79:20101', u'1393595230', u'%60Access+Tomo%60'), (u'62eca', u'AccessTomo', u'31.204.131.79:20101', u'1392542623', u'%60Access+Tomo%60')]"
109.69.7.130,11dd0,"[(u'11dd0', u'S4AReplay', u'79.137.85.74:20105', u'1499769033', u'%26gt%3B%7CS4A%7C%26lt%3B+Replay%60'), (u'11dd0', u'S4AReplay', u'52.57.90.19:20100', u'1496673739', u'%26gt%3B%7CS4A%7C%26lt%3B+Replay%60'), (u'11dd0', u'S4AReplay', u'51.254.35.64:20102', u'1490793114', u'%26gt%3B%7CS4A%7C%26lt%3B+Replay%60'), (u'11dd0', u'S4AReplay', u'51.254.35.64:20102', u'1490792924', u'%26gt%3B%7CS4A%7C%26lt%3B+Replay%60')]"
217.55.2.84,,
145.130.173.180,ec315,[]
186.77.195.54,,
79.176.81.182,e78c1,"[(u'e78c1', u'Nikos', u'51.254.35.64:20111', u'1495920937', u'Niko%27s'), (u'e78c1', u'Nikos', u'51.254.35.64:20102', u'1493566212', u'Niko%27s'), (u'e78c1', u'Nikos', u'51.254.35.64:20102', u'1493484834', u'Niko%27s'), (u'e78c1', u'Nikos', u'51.254.35.64:20102', u'1493484441', u'Niko%27s'), (u'e78c1', u'Nikos', u'51.254.35.64:20109', u'1491868287', u'Niko%27s'), (u'e78c1', u'Nikos', u'51.254.35.64:20109', u'1491003254', u'Niko%27s')]"
81.100.252.214,85623,"[(u'85623', u'cLgringatrOn', u'213.163.78.139:20100', u'1499691946', u'.cLg+%23+ringatrOn%60'), (u'85623', u'cLgringatrOn', u'213.163.78.139:20100', u'1499691645', u'.cLg+%23+ringatrOn%60'), (u'85623', u'cLgr1ng', u'51.255.200.51:20113', u'1499624025', u'-cLg-+%27%27+r1ng'), (u'85623', u'cLgring0star', u'78.47.64.168:20105', u'1497457933', u'-cLg+%27%27+ring0star%60'), (u'85623', u'cLgr1ng', u'78.47.64.168:20102', u'1496412885', u'-cLg+%27%27+r1ng%2B'), (u'85623', u'cLgr1ng', u'213.163.78.139:20100', u'1496348582', u'-cLg-+%27%27+r1ng')]"
42.106.49.25,,
156.205.21.25,,
156.204.149.159,,
87.93.124.238,065c1,"[(u'065c1', u'HaTeDkokki', u'52.57.90.19:20100', u'1499627584', u'HaTeD+%23+kokki'), (u'065c1', u'HaTeDkokki', u'51.254.35.64:20111', u'1499535168', u'HaTeD+%23+kokki'), (u'065c1', u'HaTeDkokki', u'31.186.250.93:20150', u'1482613418', u'HaTeD+%23+kokki'), (u'065c1', u'HaTeDkokki', u'31.186.250.93:20150', u'1480954578', u'HaTeD+%23+kokki'), (u'065c1', u'S4Akokki', u'31.186.251.200:20100', u'1470757933', u'%26gt%3B%7CS4A%7C%26lt%3B+kokki')]"
156.204.84.187,,
156.204.188.140,,
156.204.179.49,4dada,"[(u'4dada', u'c2KHalleM', u'31.186.250.93:20150', u'1475833375', u'-%3D%5Dc2K%5B%3D-HalleM%60'), (u'4dada', u'c2KHalleM', u'89.34.97.158:27015', u'1473361699', u'-%3D%5Dc2K%5B%3D-HalleM%60'), (u'4dada', u'c2KHalleM', u'89.34.97.158:27015', u'1473360300', u'-%3D%5Dc2K%5B%3D-HalleM%60'), (u'4dada', u'c2KHalleM', u'89.34.97.158:27015', u'1473359381', u'-%3D%5Dc2K%5B%3D-HalleM%60'), (u'4dada', u'c2KHalleM', u'89.34.97.158:27015', u'1473357907', u'-%3D%5Dc2K%5B%3D-HalleM%60'), (u'4dada', u'c2KHalleM', u'89.34.97.158:27015', u'1473356599', u'-%3D%5Dc2K%5B%3D-HalleM%60')]"
156.205.133.8,,
41.47.82.93,,
156.199.119.96,,
47.11.3.189,0e50a,"[(u'0e50a', u'WBGmRLx', u'78.47.64.168:20101', u'1499542928', u'-%7CWBG%7C-+mRLx%2A'), (u'0e50a', u'WBGmRLx', u'78.47.64.168:20101', u'1497542106', u'-%7CWBG%7C-+mRLx%2A'), (u'0e50a', u'WBGmRLx', u'78.47.64.168:20101', u'1497541913', u'-%7CWBG%7C-+mRLx%2A'), (u'0e50a', u'WBGmRLx', u'78.47.64.168:20104', u'1497452821', u'-%7CWBG%7C-+mRLx%2A'), (u'0e50a', u'WBGmRLx', u'78.47.64.168:20101', u'1497014627', u'-%7CWBG%7C-+mRLx%2A'), (u'0e50a', u'WBGmRLx', u'78.47.64.168:20101', u'1496862136', u'-%7CWBG%7C-+mRLx%2A')]"
197.167.40.4,,
90.191.56.63,53c61,"[(u'53c61', u'Bandulu', u'51.255.200.51:20104', u'1498690735', u'%5B%2B%5D+Bandulu'), (u'53c61', u'Bandulu', u'51.255.200.51:20104', u'1498690528', u'%5B%2B%5D+Bandulu'), (u'53c61', u'Bandulu', u'52.57.90.19:20100', u'1498684766', u'%5B%2B%5D+Bandulu'), (u'53c61', u'Bandulu', u'51.255.200.51:20104', u'1497809117', u'%5B%2B%5D+Bandulu'), (u'53c61', u'Bandulu', u'51.254.35.64:20111', u'1497184292', u'%5B%2B%5D+Bandulu'), (u'53c61', u'Bandulu', u'51.254.35.64:20111', u'1496839125', u'%5B%2B%5D+Bandulu')]"
148.255.183.203,d091c,"[(u'd091c', u'NsSXmeN', u'185.61.138.136:20100', u'1499015518', u'%60NsS+%2F%23%2F+XmeN%2A'), (u'd091c', u'NsSXmeN', u'185.61.138.136:20100', u'1499015180', u'%60NsS+%2F%23%2F+XmeN%2A'), (u'd091c', u'NsSXmeN', u'79.137.85.74:20105', u'1499008650', u'%60NsS+%2F%23%2F+XmeN%2A'), (u'd091c', u'NsSXmeN', u'78.47.64.168:20102', u'1498410889', u'%60NsS+%2F%23%2F+XmeN%2A'), (u'd091c', u'NsSXmeN', u'78.47.64.168:20102', u'1498410623', u'%60NsS+%2F%23%2F+XmeN%2A'), (u'd091c', u'NsSXmeN', u'79.137.85.74:20105', u'1498256912', u'%60NsS+%2F%23%2F+XmeN%2A')]"
156.205.162.187,,
103.249.7.230,8bcdd,"[(u'8bcdd', u'WBGFROMMARS', u'185.61.138.136:20100', u'1499701625', u'-%7CWBG%7C-+FROM+MARS%21'), (u'8bcdd', u'WBGFROMINDIA', u'51.255.200.51:20104', u'1498497155', u'-%7CWBG%7C-+FROMINDIA'), (u'8bcdd', u'wbgoraonp4th', u'51.254.35.64:20111', u'1498386963', u'wbg+-+ora%21onp4th'), (u'8bcdd', u'oraonp4th', u'51.254.35.64:20111', u'1498386719', u'ora%21onp4th'), (u'8bcdd', u'AGREATSEX', u'51.254.35.64:20102', u'1494264985', u'A+GREAT+SEX'), (u'8bcdd', u'Asuah', u'37.59.160.132:20103', u'1492934880', u'Asuah%21')]"
41.237.40.79,,
156.204.143.101,,
87.65.210.198,595ee,"[(u'595ee', u'WBGFRK', u'185.61.138.136:20100', u'1499707105', u'-%7CWBG%7C-+FRK'), (u'595ee', u'FARUUK', u'79.137.85.74:20105', u'1499530758', u'FARUUK.'), (u'595ee', u'FARUUK', u'79.137.85.74:20105', u'1499529451', u'FARUUK.')]"
41.46.132.152,,
2.136.242.253,4af54,[]
197.167.97.160,84f86,"[(u'84f86', u'avenger', u'79.137.85.74:20105', u'1496585622', u'.avenger%27')]"
156.204.41.42,,
45.96.122.30,,
41.236.90.132,,
197.167.20.253,,
156.223.31.59,,
41.237.52.0,,
156.198.155.8,,
186.150.150.191,00da4,[]
196.218.133.55,9ae48,[]
41.233.191.231,5c6a1,"[(u'5c6a1', u'todo', u'51.254.35.64:20102', u'1499435558', u'todo'), (u'5c6a1', u'todo', u'51.254.35.64:20102', u'1499435226', u'todo'), (u'5c6a1', u'todo', u'51.254.35.64:20102', u'1499434925', u'todo'), (u'5c6a1', u'todo', u'51.254.35.64:20102', u'1499434669', u'todo'), (u'5c6a1', u'ToDo', u'31.204.136.28:20100', u'1497056933', u'ToDo'), (u'5c6a1', u'doraToDzA', u'79.137.85.74:20105', u'1495888672', u'dora+%7C+ToDzA')]"
156.204.77.172,2cf22,"[(u'2cf22', u'Professional', u'79.137.85.74:20100', u'1500018208', u'Professional'), (u'2cf22', u'Professional', u'79.137.85.74:20105', u'1498125367', u'Professional'), (u'2cf22', u'Professional', u'78.47.64.168:20105', u'1497914774', u'Professional'), (u'2cf22', u'Professional', u'78.47.64.168:20105', u'1497914589', u'Professional'), (u'2cf22', u'Professional', u'51.254.35.64:20111', u'1495470239', u'Professional')]"
156.205.23.70,,
156.204.145.25,,
156.205.125.203,,
156.204.215.233,,
86.84.205.241,37145,"[(u'37145', u'demohyper', u'213.163.78.139:20100', u'1499615585', u'demo.+hyper')]"
187.151.147.100,,
84.85.102.56,e3232,"[(u'e3232', u'ccPlayFair', u'81.169.239.59:20100', u'1488903038', u'%5Bcc%5D+%7CPlayFair%7C'), (u'e3232', u'ccPlayFair', u'88.159.38.110:20100', u'1453818672', u'%5Bcc%5D+%7CPlayFair%7C')]"
94.213.86.129,d5a80,"[(u'd5a80', u'Reander', u'78.47.64.168:20100', u'1494953827', u'Reander')]"
156.204.154.185,,
91.155.242.227,5da45,"[(u'5da45', u'volatileArskaCPT', u'51.255.200.51:20104', u'1498868923', u'volatile+%23+Arska+%26lt%3BCPT%26gt%3B'), (u'5da45', u'volatileArskaCPT', u'51.255.200.51:20104', u'1498866121', u'volatile+%23+Arska+%26lt%3BCPT%26gt%3B'), (u'5da45', u'volatileArskaCPT', u'31.204.131.71:20100', u'1492464428', u'volatile+%23+Arska+%26lt%3BCPT%26gt%3B'), (u'5da45', u'volatileArskaCPT', u'31.204.131.71:20100', u'1492457836', u'volatile+%23+Arska+%26lt%3BCPT%26gt%3B'), (u'5da45', u'volatileArskaCPT', u'149.202.63.22:20100', u'1485548013', u'volatile+%23+Arska+%26lt%3BCPT%26gt%3B'), (u'5da45', u'volatileArskaCPT', u'149.202.63.22:20104', u'1484595285', u'volatile+%23+Arska+%26lt%3BCPT%26gt%3B')]"
41.45.211.1,,
156.204.43.103,,
156.204.109.77,,
134.255.8.129,53802,[]
156.204.130.175,,
213.195.215.50,,
156.205.239.193,,
159.255.229.51,74d3e,"[(u'74d3e', u'HsSmAgic', u'213.163.78.139:20100', u'1495902030', u'-%7CHsS%7C-+mAgic%2B'), (u'74d3e', u'HsSmAgic', u'31.204.136.28:20100', u'1495544397', u'-%7CHsS%7C-+mAgic%2B'), (u'74d3e', u'HsSmAgic', u'31.204.136.28:20100', u'1495308138', u'-%7CHsS%7C-+mAgic%2B'), (u'74d3e', u'HsSmAgic', u'31.204.136.28:20100', u'1495306653', u'-%7CHsS%7C-+mAgic%2B'), (u'74d3e', u'HsSmAgic', u'91.198.152.92:20100', u'1494358095', u'-%7CHsS%7C-+mAgic%2B'), (u'74d3e', u'HsSmAgic', u'31.204.136.28:20100', u'1492522388', u'-%7CHsS%7C-+mAgic%2B')]"
197.48.105.154,,
156.205.33.79,,
89.152.78.225,7fb49,[]
156.205.78.0,,
